workoutId,workoutName,metValue
241,인터벌 런닝,8
242,일립티컬,6
243,자유수영,6
244,자전거타기,7
245,재즈댄스,4.8
246,재즈사이즈,6
247,저항성운동(가볍게) - 전신,3.5
248,저항성운동(격렬하게) - 전신,6
249,저항성운동(보통으로) - 전신,5
250,점프 스쿼트,6
251,점핑운동(경쟁적인),4.5
252,점핑운동(레크레이션적인),3.5
253,정구 단식경기(일반적인),7
254,정구 복식경기,5
255,제기차기,3
256,제자리 걷기,2
257,제자리 걷기,2
258,제자리뛰기,5.5
259,조깅,7
260,조정(로잉머신),4.8
261,족구,5.5
262,"주짓수_시합, 격렬하게",10.3
263,"주짓수_훈련, 연습",5.3
264,줄넘기(빠르게),9
265,줄넘기(천천히),8
266,줌바댄스,5
267,짐볼운동,3.8
268,철봉매달리기,3.8
269,체스트 프레스,5
270,축구 프리킥 차기,7
271,축구시합,10
272,축구연습,7
273,"캠프 단체훈련(예, 해병대 캠프 등)",5
274,캠핑,2.5
275,커브스 30분 여성 순환운동,3.5
276,컨벤셔널 데드리프트,8
277,케이블 크로스 오버,5
278,케틀벨,5.5
279,코어운동,4.5
280,크런치(가볍게),3
281,크런치(격렬하게),8
282,크런치(보통으로),5
283,크로스 크런치,4.5
284,크로스 핏,8
285,킥 백,5
286,킥복싱,5
287,킥복싱,10
288,타바타 운동,8
289,타바타운동,9
290,타이치,4
291,탁구랠리,4
292,탁구시합,5
293,태권도,10
294,태극권,4
295,태보,7
296,탱고,5.5
297,턱걸이(가볍게),3
298,턱걸이(격렬하게),8
299,턱걸이(보통으로),5
300,테니스 단식경기,7
301,테니스 복식경기,5
302,트라이셉스 익스텐션,5
303,트라이셉스 푸시 다운,5
304,트래킹,5
305,트랙걷기,4.5
306,트램폴린(경쟁적인),4.5
307,트램폴린(레크레이션적인),3.5
308,트위스트 댄스,4.8
309,트위스트 런,5
310,파워요가,4
311,파워워킹,6
312,파크골프,4.3
313,팔굽혀매달리기,5
314,팔굽혀펴기(가볍게),3
315,팔굽혀펴기(격렬하게),8
316,팔굽혀펴기(보통으로),5
317,팔돌리기(야외운동기구),2.5
318,패들보드,6
319,펙덱 플라이,5.5
320,펜싱,6
321,평행봉,5.5
322,포크댄스,7.8
323,폴댄스,5.5
324,폼롤러,3
325,푸쉬업(가볍게),3
326,푸쉬업(격렬하게),8
327,푸쉬업(보통으로),5
328,풀 스쿼트,6
329,풀업(가볍게) - 상지(어깨),2.8
330,풀업(격렬하게) - 상지(어깨),8
331,풀업(보통으로) - 상지(어깨),3.8
332,풀업(턱걸이),5
333,풋살,8
334,프론트 레이즈,5
335,프론트 풀다운,4
336,프롭테라피,3.8
337,프리다이빙,7
338,프리스비 얼티메이트,8
339,플라멩고,4.5
340,플라잉 요가,4
341,플랭크,3.8
342,플로터킥,5
343,픽시자전거,8
344,필라테스,3
345,필라테스(기구),5
346,하이킹,6
347,하체 근력운동,5
348,하타 요가,2.5
349,하프마라톤,9
350,할로우 보디홀드,3
351,해머 컬,5
352,행잉 레그레이즈,10
353,허리돌리기(야외운동기구),2.5
354,헬스(가볍게),5
355,헬스(격렬하게),7.8
356,헬스(보통으로),5.5
357,홈트레이닝-유산소운동,7
358,훌라후프,5.5
359,훌라후프,4
360,힙 쓰러스트,6
361,힙 어브덕션,5
